ProductID,LineID,QualityClass,ProductCode,X_251,X_371,X_632,X_660,X_956,X_1000
TEST_000,T100306,1,T_31,0.0,0.0,0.9,0.096774194,0.0,0.0
TEST_001,T100304,2,T_31,0.0,0.0,1.1,0.032258065,0.0,0.0
TEST_002,T100304,1,T_31,0.0,0.0,0.8,0.064516129,0.0,0.0
TEST_003,T010305,1,A_31,37.0,8702.0,0.0,0.0,15.0,133.0
TEST_004,T010306,1,A_31,0.0,0.0,0.0,0.0,13.0,140.0
TEST_005,T010306,1,A_31,0.0,0.0,0.0,0.0,10.0,547.0
TEST_006,T010305,1,A_31,40.0,9552.0,0.0,0.0,10.0,547.0
TEST_007,T050304,0,A_31,0.0,0.0,0.0,0.0,-31.0,2624.0
TEST_008,T050304,0,A_31,0.0,0.0,0.0,0.0,-18.0,2738.0
TEST_009,T010306,1,A_31,0.0,0.0,0.0,0.0,-2.0,379.0
TEST_010,T010305,1,A_31,46.0,10932.0,0.0,0.0,0.0,386.0
TEST_011,T010305,1,A_31,53.0,12382.0,0.0,0.0,0.0,403.0
TEST_012,T010306,1,A_31,0.0,0.0,0.0,0.0,4.0,410.0
TEST_013,T050307,0,A_31,0.0,0.0,0.0,0.0,-4.0,1046.0
TEST_014,T050304,0,A_31,0.0,0.0,0.0,0.0,-4.0,1050.0
TEST_015,T100304,1,T_31,0.0,0.0,0.4,0.0,0.0,0.0
TEST_016,T100306,1,T_31,0.0,0.0,0.9,0.064516129,0.0,0.0
TEST_017,T100304,1,T_31,0.0,0.0,0.8,0.0,0.0,0.0
TEST_018,T100306,1,T_31,0.0,0.0,0.9,0.064516129,0.0,0.0
TEST_019,T100306,1,T_31,0.0,0.0,0.8,0.096774194,0.0,0.0
TEST_020,T100304,1,T_31,0.0,0.0,1.1,0.0,0.0,0.0
TEST_021,T100306,1,T_31,0.0,0.0,1.1,0.0,0.0,0.0
TEST_022,T100304,1,T_31,0.0,0.0,0.4,0.0,0.0,0.0
TEST_023,T100304,1,T_31,0.0,0.0,1.1,0.0,0.0,0.0
TEST_024,T100304,1,T_31,0.0,0.0,0.9,0.2666666669999999,0.0,0.0
TEST_025,T100304,1,T_31,0.0,0.0,1.2,0.064516129,0.0,0.0
TEST_026,T100306,1,T_31,0.0,0.0,1.2,0.0,0.0,0.0
TEST_027,T100304,1,T_31,0.0,0.0,1.3,0.0,0.0,0.0
TEST_028,T100304,1,T_31,0.0,0.0,1.0,0.033333333,0.0,0.0
TEST_029,T100306,1,T_31,0.0,0.0,1.1,0.2666666669999999,0.0,0.0
TEST_030,T100304,1,T_31,0.0,0.0,0.7,0.233333333,0.0,0.0
TEST_031,T100306,1,T_31,0.0,0.0,0.6,0.0,0.0,0.0
TEST_032,T100304,1,T_31,0.0,0.0,1.3,0.193548387,0.0,0.0
TEST_033,T100306,1,T_31,0.0,0.0,0.8,0.225806452,0.0,0.0
TEST_034,T100306,1,T_31,0.0,0.0,1.2,0.096774194,0.0,0.0
TEST_035,T050304,0,A_31,0.0,0.0,0.0,0.0,-6.0,549.0
TEST_036,T050307,0,A_31,0.0,0.0,0.0,0.0,-7.0,600.0
TEST_037,T010306,0,A_31,0.0,0.0,0.0,0.0,10.0,251.0
TEST_038,T010305,2,A_31,134.0,31680.0,0.0,0.0,20.0,258.0
